Defensive Line,Linebacker,Offensive Line,Quarterback,Running Back,Secondary,Special Teams,Tight End,Wide Receiver,Year,Team,Wins,Active Contracts,Salary Cap,Dead Cap,Injured Reserve
12889354,30580289,13291701,10168185,4784117,25901874,7250000,2310203,13027778,2015,Indianapolis Colts,8,120203501,143280000,14263153,8935523
2989976,19569012,17854816,19900000,5653333,16115579,6750000,11027250,14155720,2016,Indianapolis Colts,8,114015686,155270000,17189353,16465892
16298718,15190514,16338269,2607391,4564032,8045353,3219000,8791276,15209645,2017,Indianapolis Colts,4,90264198,167000000,27574758,38435699
20408109,4206294,22714741,25160076,2083712,9861539,4184000,7088820,19630587,2018,Indianapolis Colts,10,116290378,177200000,12803242,15154224
13723223,10823626,13567864,8347587,8961344,5898473,4368871,7160882,3149460,2013,Jacksonville Jaguars,4,76481330,123000000,35388734,4285989
28827556,13790331,16153124,9554831,5608261,7902378,5453856,10428882,4860422,2014,Jacksonville Jaguars,3,103149641,133000000,21765907,874666
28330742,13270874,24747232,8194275,2543123,14234868,1896314,16441470,4280574,2015,Jacksonville Jaguars,5,113939472,143280000,9582465,10514468
27671075,11086585,14979980,10864198,4904699,22899236,3350000,1133820,12790271,2016,Jacksonville Jaguars,3,109679864,155270000,5108643,35241238
44131852,12755577,23828773,10071985,13166032,29321165,2489412,5405000,9992830,2017,Jacksonville Jaguars,10,151852626,167000000,11295119,8145211
50991496,11488256,4869310,10786333,9636711,37475584,1082022,1429589,12145135,2018,Jacksonville Jaguars,5,140722671,177200000,20812620,36989794
13759289,22543136,20344570,10708333,6779755,26006425,3888750,3426120,7268150,2013,Kansas City Chiefs,11,115279528,123000000,19028711,896878
9284541,23580668,12066035,8786939,10889778,11276101,4815666,5511664,16450125,2014,Kansas City Chiefs,9,103806517,133000000,9407748,7461890
11290693,21681882,13316373,20963606,9577339,24377775,4745666,1798826,5371441,2015,Kansas City Chiefs,11,114623601,143280000,21535333,2828386
8599830,21759378,14205930,20170000,2274018,20523950,6025667,4923789,15531762,2016,Kansas City Chiefs,12,116014324,155270000,14174760,22307196
17700651,38741000,24185930,21205256,1811071,13233487,6007941,6968400,3631465,2017,Kansas City Chiefs,10,135438141,167000000,16051403,17581511
14751750,35934924,28028151,6333141,4287402,24776139,3085000,12397809,12360752,2018,Kansas City Chiefs,12,143955068,177200000,22862302,10074475
5951759,15875167,17603168,15996516,5029250,16280023,5652500,8795715,6936732,2013,Los Angeles Chargers,9,101204163,123000000,12298555,6719332
6463475,17800822,11847215,17844166,8517686,19174026,2643088,9226891,10637616,2014,Los Angeles Chargers,9,104154985,133000000,16440510,12960830
3900103,14327451,16690946,22989168,4845294,6015274,5666666,9874852,7743579,2015,Los Angeles Chargers,4,92053333,143280000,16995532,31765790
16094744,12030094,24760914,17180000,2728477,12768602,1912622,7714465,5967646,2016,Los Angeles Chargers,5,101639984,155270000,13365371,39337204
22573911,22340409,16338278,19540000,4208369,13168809,1688162,6886205,19717660,2017,Los Angeles Chargers,9,127034223,167000000,18816665,11512775
31350583,5270374,27502391,23000000,4657474,18723869,1777645,6599083,24929310,2018,Los Angeles Chargers,12,144473149,177200000,15367556,17446005
20797990,18516663,12537657,13150000,2637944,20366196,1651371,5707555,5479735,2013,Los Angeles Rams,7,101325111,123000000,14665104,7805489
30328258,17152421,26253293,19930000,2533833,6254498,2087640,7990153,7020192,2014,Los Angeles Rams,6,120120288,133000000,8402953,1962090
25528887,11033280,9393342,5218449,4401638,9164299,3947080,13900441,10238335,2015,Los Angeles Rams,7,94367751,143280000,11478046,33923354
